Breed LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever LabradorRetriever
DogID 6540 21150 21537 6559 21178 6575 21900 7770 21241 22661 7792 21261 22681 7807 21293 23727 21309 24688 17927 25157 17954 25774 21043 26288 21067 26303 21106 21119 26911 6541 21153 6560 6580 21220 21906 7773 21243 22662 7795 22683 12963 21297 23728 14939 24693 17936 21320 25165 20858 25777 21052 21527 26290 26304 21115 26913 6542 21157 21539 6561 21194 21558 7616 21222 21907 7775 21246 22663 7797 21263 22684 14929 21298 23730 14941 24694 17938 21321 25167 20875 21329 25781 21055 26292 21070 24701 26306 21116 26917 6549 21544 6562 21886 7620 21908 7778 22664 7798 21268 22686 14931 21299 23731 14942 21313 24697 17941 25783 21056 26295 21071 24702 26308 21118 26919 6551 21165 21545 6568 21200 21888 7622 21909 7780 22669 7799 22689 14932 23733 14943 24706 17942 20991 21332 25788 21059 21531 26298 21072 25848 26310 26922 6555 21168 6569 21891 7628 21229 21910 7783 22671 7801 23723 14934 21306 23740 14947 21315 25154 17943 25768 20992 25795 21062 26299 21075 26900 21123 26925 6556 21169 6570 21210 21894 7632 21913 7784 21258 22674 7802 21280 23724 14935 23742 14952 21316 25155 17949 21325 25770 20995 25838 21063 26300 21078 26901 21145 26926 6558 6574 21212 21899 7638 21239 21914 7791 21260 22677 7805 23726 14937 21308 24684 14955 21318 25156 17953 21326 25771 20996 21345 25839 21064 22659 26301 21068 21081 26910 21149
Sex M M F M M M F F F M M M M F M F M M M M F F M M F M M M M M M M M F M M F M F M F M F M F F M M M F M F F F M M M M M M F F F F M M M M F F M M M F M F M F M M F F F M F M M F M F M M F F F M M M M M M M F M F F F M M M M M M M M M F M F M M M M F F M F M F F M F M F M F M M M M M M M F M F M F M M M F F M M F M M M F F F M M F M M M F M F M M F F F M F M F F M F M F M F M M M F F M F M M F F M M F F M F F M F M F M F M M M F M F M M F F M M F M M F M M
qualification unqualified qualified unqualified unqualified unqualified qualified unqualified qualified unqualified unqualified qualified unqualified qualified qualified unqualified unqualified unqualified qualified unqualified unqualified unqualified qualified qualified qualified unqualified unqualified unqualified unqualified qualified unqualified unqualified unqualified unqualified unqualified qualified qualified unqualified unqualified qualified unqualified unqualified unqualified unqualified unqualified qualified unqualified unqualified qualified qualified qualified unqualified qualified qualified unqualified unqualified qualified unqualified unqualified qualified unqualified qualified unqualified qualified unqualified unqualified qualified unqualified qualified qualified unqualified unqualified qualified unqualified qualified unqualified unqualified qualified unqualified unqualified unqualified unqualified qualified unqualified unqualified qualified qualified unqualified unqualified qualified unqualified unqualified qualified qualified unqualified unqualified qualified unqualified qualified qualified unqualified unqualified unqualified unqualified qualified unqualified unqualified unqualified unqualified unqualified qualified qualified qualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified qualified unqualified qualified qualified unqualified qualified unqualified qualified unqualified qualified qualified unqualified qualified unqualified qualified unqualified qualified unqualified qualified unqualified unqualified qualified qualified unqualified qualified unqualified qualified qualified unqualified unqualified unqualified qualified unqualified qualified qualified qualified qualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified qualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified qualified unqualified qualified qualified unqualified qualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified qualified unqualified qualified unqualified qualified unqualified unqualified unqualified unqualified qualified unqualified unqualified qualified unqualified unqualified unqualified qualified unqualified unqualified unqualified unqualified unqualified unqualified qualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified unqualified qualified unqualified unqualified unqualified qualified unqualified unqualified qualified
Qualification 1 2 1 1 1 2 1 2 1 1 2 1 2 2 1 1 1 2 1 1 1 2 2 2 1 1 1 1 2 1 1 1 1 1 2 2 1 1 2 1 1 1 1 1 2 1 1 2 2 2 1 2 2 1 1 2 1 1 2 1 2 1 2 1 1 2 1 2 2 1 1 2 1 2 1 1 2 1 1 1 1 2 1 1 2 2 1 1 2 1 1 2 2 1 1 2 1 2 2 1 1 1 1 2 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 1 2 1 2 2 1 2 1 2 1 2 2 1 2 1 2 1 2 1 2 1 1 2 2 1 2 1 2 2 1 1 1 2 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 2 2 1 2 1 1 1 1 1 1 1 2 1 2 1 2 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 2
Activity 2 4 3 3 5 4 3 4 4 3 5 3 4 5 5 3 3 4 2 4 4 4 4 5 2 4 3 4 5 3 4 2 4 4 4 5 3 3 4 3 3 2 4 3 5 4 4 5 3 5 4 4 5 3 3 5 4 2 3 3 4 3 4 5 3 4 4 4 5 4 3 4 3 5 4 3 5 3 4 3 2 4 3 3 4 4 5 4 5 4 1 4 3 3 3 5 4 3 4 4 4 3 3 5 3 3 3 3 5 5 5 3 3 4 3 4 3 2 4 3 4 3 3 4 3 3 3 4 3 5 3 4 4 5 5 5 4 4 4 4 3 5 3 4 5 2 5 5 3 4 3 3 3 4 5 5 3 3 3 2 3 3 3 5 5 4 2 2 5 4 2 4 2 2 3 2 4 4 4 4 5 4 3 4 4 4 3 4 2 5 4 5 3 5 3 3 4 5 3 2 2 4 3 3 3 4 3 3 4 4 3 3 5 3 3 4 4 2 5 3 4 5 2 3 4 4 5 5 4
Independency 3 3 3 5 3 3 3 2 3 3 3 2 2 5 3 2 3 4 5 3 2 4 3 5 2 2 3 4 4 3 4 4 3 3 3 2 1 3 3 2 4 3 3 2 4 2 4 4 3 5 3 3 3 2 3 4 3 2 2 2 2 3 3 2 3 3 3 4 4 2 4 4 3 3 2 3 2 3 4 3 2 3 3 2 4 4 3 2 5 4 4 3 2 3 4 2 3 3 2 2 3 3 2 3 2 3 3 3 3 5 4 3 2 3 3 3 3 4 4 4 4 3 2 3 2 2 3 2 3 3 2 3 3 4 5 3 3 2 3 4 2 3 2 3 2 4 4 2 3 3 2 3 3 3 4 4 3 4 3 4 4 3 3 2 4 3 3 4 4 3 3 3 2 4 5 4 4 3 2 3 3 4 2 3 2 4 3 3 1 4 3 5 3 4 3 2 4 3 3 4 4 2 3 2 4 4 3 3 3 3 2 2 4 3 2 3 3 3 4 3 3 5 2 2 3 3 4 2 4
Concentration 2 3 2 3 4 3 3 3 2 4 4 3 5 4 3 3 3 3 1 4 3 4 5 5 2 2 3 3 4 3 1 1 2 3 4 3 1 2 4 2 2 2 3 4 4 4 4 4 3 5 3 4 4 2 4 5 2 3 4 3 5 3 5 3 2 3 3 4 5 4 2 3 4 4 4 2 4 3 4 2 2 3 3 2 4 2 4 2 5 3 2 4 4 4 2 5 3 4 4 4 3 2 3 4 3 3 1 3 4 5 5 3 2 3 3 3 3 2 4 2 3 2 3 3 4 4 4 3 3 4 3 3 5 4 5 4 3 2 4 2 3 4 3 4 4 2 4 4 2 3 4 3 3 3 4 5 3 4 3 1 2 4 3 4 4 2 3 2 5 3 3 3 3 2 1 1 4 3 5 4 4 5 2 3 3 4 3 2 2 5 3 5 3 4 3 2 3 5 3 2 1 4 3 3 3 4 3 3 4 3 2 3 4 3 3 2 3 2 5 3 3 5 3 4 3 4 4 5 3
Friendliness_to_humans 2 4 2 3 4 4 3 5 3 4 2 2 4 3 4 3 4 3 3 3 4 4 4 5 3 3 4 4 5 3 4 2 4 4 4 5 4 3 4 3 3 3 4 5 3 3 3 4 4 5 4 4 4 2 4 5 3 3 4 4 5 4 4 4 3 4 4 4 4 5 3 4 3 3 3 3 4 4 4 4 4 4 3 3 5 3 4 2 5 4 2 4 4 4 3 4 3 4 4 3 4 3 3 4 4 3 3 4 4 5 2 3 2 4 4 4 4 2 4 3 4 3 4 4 3 4 3 4 3 4 4 4 4 3 4 4 3 3 4 3 2 4 3 3 4 3 5 3 4 4 3 4 3 4 5 3 3 4 4 1 4 4 3 4 4 4 4 5 5 4 4 3 3 2 1 2 4 4 4 4 4 4 1 4 4 4 4 3 4 4 4 4 4 4 4 5 4 4 2 3 3 3 4 4 3 3 3 3 3 3 2 5 3 3 4 4 4 4 4 3 4 4 3 4 3 4 5 5 4
Tolerance_to_dogs 3 3 3 2 5 5 4 4 2 4 3 5 4 3 3 3 5 3 5 3 4 3 4 3 4 3 3 2 5 2 3 3 3 4 4 5 5 2 3 4 4 5 4 3 3 4 3 3 4 3 3 4 3 3 3 5 4 4 4 4 3 4 4 5 4 4 5 3 3 5 4 4 3 3 4 2 2 4 3 3 4 3 4 3 5 3 4 3 5 4 4 3 4 4 4 5 3 4 3 4 4 4 2 3 5 3 3 3 3 3 4 3 3 3 4 4 4 3 5 4 4 5 4 3 4 5 3 4 4 4 4 3 4 4 3 4 4 3 5 2 3 4 5 4 5 4 4 3 4 3 2 4 3 4 3 3 4 4 3 5 3 4 3 4 3 2 4 3 5 4 5 3 5 4 5 4 5 4 4 4 3 4 3 2 3 4 3 3 4 3 3 3 4 3 4 5 4 4 4 5 5 4 5 4 4 4 5 2 3 2 3 4 3 4 5 3 4 4 3 3 3 3 5 4 4 4 4 4 3
Boldness 3 3 3 2 4 2 3 1 2 2 5 4 4 5 3 4 4 4 2 3 2 2 4 5 2 1 3 3 3 3 4 1 4 3 4 5 3 1 3 4 3 1 3 3 3 3 4 3 4 4 2 4 2 1 3 3 2 3 4 3 3 3 4 3 3 3 4 4 5 4 1 3 2 4 4 2 4 3 3 3 2 3 2 2 5 3 2 4 4 2 1 5 3 4 2 5 4 3 4 3 3 4 4 5 2 3 4 3 5 4 4 3 1 3 4 3 3 2 2 1 3 3 4 3 3 5 4 3 3 4 3 4 3 3 5 4 4 2 5 3 1 3 4 4 4 2 5 5 3 4 3 3 4 3 3 5 4 3 3 1 3 3 3 4 4 4 4 3 3 3 3 3 5 1 1 1 4 4 4 4 4 3 5 2 3 4 2 2 2 3 3 5 3 3 4 2 2 3 3 2 2 4 4 4 3 4 3 3 3 5 5 3 4 3 2 3 3 3 4 3 3 5 1 3 2 4 5 2 3
