Model,Lengths_Mb,Length_CI,ROH_Freq,ROH_Freq_CI,H_e,H_e_CI
s=0.8,3.62,(2.3\, 4.94),77,(63.9\, 90),0.226,(0.134\, 0.317)
s=0.7,4.08,(2.21\, 5.96),75.2,(62.1\, 88.2),0.2,(0.124\, 0.275)
s=0.6,2.96,(2.34\, 3.59),86.7,(75.9\, 97.6),0.153,(0.064\, 0.242)
s=0.5,3.24,(2.26\, 4.23),89.1,(79.8\, 98.5),0.137,(0.07\, 0.205)
s=0.4,2.48,(1.98\, 2.99),71.6,(58.4\, 84.8),0.218,(0.148\, 0.289)
s=0.3,2.85,(2.11\, 3.58),83.9,(73.3\, 94.5),0.16,(0.086\, 0.234)
s=0.2,2.56,(1.25\, 3.86),78.2,(66.3\, 90.1),0.159,(0.099\, 0.22)
s=0.1,2.49,(0.38\, 4.6),64.2,(52.2\, 76.2),0.206,(0.148\, 0.265)
Hotspot\_chr28\_window\_1,1.4,NA,75,NA,0.118,NA
Hotspot\_chr1\_window\_1,0.7,NA,56.2,NA,0.144,NA
